,do_nothing,mine_minerals,mine_gas,build_assimilator,build_pylon,build_gateway,build_cybercore,train_probe,train_zealot,train_stalker,harass,attack_all
[12  0  0  0  3  0  0  0],2.10536341331254e-12,2.2437697119051772e-12,2.08453595819893e-12,2.293111142432227e-12,1.7252324039926507e-12,1.7351090282968476e-12,2.24074930374411e-12,3.945399680791606e-12,2.117151493198434e-12,2.189156276089519e-12,1.8797657624844045e-12,2.1462312042400706e-12
[12  0  0  0  2  0  0  0],2.779667919928159e-12,2.652568658165904e-12,4.407963675954594e-12,3.1860680611396143e-12,3.899013177303264e-12,3.853644098834271e-12,3.714723626810661e-12,4.395159100879286e-12,3.7684110958169144e-12,4.740367313756622e-12,3.932521311220908e-12,5.052453479558716e-12
[13  0  0  0  1  0  0  0],1.0691669801718457e-11,1.1152072802309966e-11,1.880106217335972e-11,9.600198204076546e-12,1.7433746084143722e-11,1.5210517332153893e-11,1.2022389367686476e-11,8.51408562178424e-12,1.014392420016032e-11,1.1344329280180529e-11,9.582157719472425e-12,1.026305690620909e-11
[14  0  0  0  0  0  0  0],4.271643783483657e-11,3.359903854680943e-11,5.4724135351372917e-11,3.659040233387492e-11,1.1214919930616558e-10,5.901857196020793e-11,4.1279139465617116e-11,5.832931413474092e-11,5.208845037804914e-11,5.762078659665042e-11,3.096686898660223e-11,5.028229021675044e-11
[15  0  0  0  0  0  0  0],3.88727068960655e-11,4.951835265470764e-11,4.61069407170723e-11,3.370179600819826e-11,7.411595651510226e-11,3.676473305825366e-11,3.054867398075849e-11,4.2451277473291337e-11,3.501141865327484e-11,6.403498714090129e-11,2.7948575175817956e-11,4.629202545936934e-11
[15  0  0  0  8  0  0  0],9.401214016063089e-12,3.376653415965813e-10,1.0703711097884876e-11,1.1342074683568216e-11,2.7540866342320972e-11,3.813340045883116e-12,4.937548627161869e-11,1.673987467109974e-10,3.062805247165844e-11,7.346782598342116e-11,1.549093166751657e-11,2.7049263475590095e-11
[15  0  0  0  7  0  0  0],1.8937905767060033e-10,2.4747165467407854e-10,4.4076827253140575e-10,1.0879885033949513e-10,2.239358709479824e-10,1.6599555118509791e-10,1.168667860870429e-10,3.5508487214133833e-10,2.6693668499775124e-10,1.4972009866458626e-10,1.7562388434554785e-10,1.824935091939966e-10
[15  0  0  0 15  0  0  0],6.317606780193278e-10,9.58684869519312e-10,4.2240615088126825e-10,6.279726009114836e-10,6.035841023365727e-10,4.1126301754948043e-10,2.2429791061751454e-09,4.0416008184305246e-09,1.908507509079038e-09,4.153934971040796e-10,1.307027152350715e-09,1.2127197319528446e-09
[16  0  0  0 14  0  0  0],5.666338466846063e-09,3.6118874060878435e-11,5.118886467602888e-09,3.897163511175676e-09,4.376937669575475e-09,2.0172544809934794e-09,3.6399661814796583e-09,1.1128263275703447e-08,7.795616963585213e-09,6.532575970233099e-09,2.3578754610676132e-09,1.170865599959863e-08
[16  0  0  0 22  0  0  0],1.3632803373634934e-10,1.4994956339469764e-08,1.3909512227274216e-07,2.2922099458800788e-09,9.070597887083943e-09,1.357765611374757e-08,8.115358542585048e-09,1.4921563743801468e-08,7.94807003170089e-09,8.491826550041767e-09,2.5646570932307036e-08,3.407708871255234e-08
